题名,作者,来源,发表时间,数据库,被引,下载,摘要,关键词
中国基础研究经费翻番 高水平科技当自强,钱童心,第一财经日报,2023-03-06,报纸,0,28,发动机的原理都是一样的，但是做出来还是有质量不同的；踢足球的技巧都是“盘”和“带”，但是很难有像梅西那样踢得好的——3月5日，科技部部长王志刚在全国两会首场“部长通道”上回答记者提问，对以ChatGPT为代表的认知智能技术做出点评。 ChatGPT不仅是“会聊天的机器人......,科技创新主体; 王志刚; 刘庆峰; 中国科学院院士; 生物医学; 空间科学;
"黄民烈 人类和AI如何相处,一直是个难题",孔月昕,中国企业家,2023-03-05,期刊,0,16,"<正>终极场景是,人和机器人已经不能区分了,机器人可能是人,人也可能是机器人ChatGPT横空出世后,热潮席卷社会各界。《财富》杂志称,没有一款人工聊天机器人能与ChatGPT相提并论。根据使用者的提问,它可以天马行空地吟诗作赋,可以幽默风趣地聊天对话,可以帮助人类敲代码、写论文、写脚本、编故事……与它的对答过程,已非通常意义上的提问和搜索,这种人机交互更像是一场跨物种间的对话。而这也符合科学家对人工聊天机器人的早期设想。早在1966年,麻省理工学院的计算机科学家就推出了一款人机对话软件“Eliza”,其被定位为模拟心理治疗专家的人工智能软件。",无
以美育造就充满创造激情的人,,前线,2023-03-05,期刊,0,22,<正>时下被广泛热议的ChatGPT所拥有的语言理解和文本生成能力，的确不容小觑。但像所有人工智能产品一样，目前ChatGPT仍然很难具有共情体验、价值判断和美感意趣等人的审美特性，所以它无法体验喜悦或惆怅等情感，更不用说古雅或静穆等意境。这就凸显出在科技革命的迅猛浪潮中进一步加强美育的重要意义。因为“美育”这一概念的最初提出，正是要使人摆脱工具化、碎片化的生存困境，使人的感性和精神力量的整体达到尽可能和谐，成为难以被替代的完整的人。,无
“文心一言”能否让家电更懂你？,卢梦琪,中国电子报,2023-03-03,报纸,0,78,随着ChatGPT成为火爆全球的国民级应用，百度推出的中国版ChatGPT“文心一言”，由于在搜索问答、内容创作生成、智能办公等众多领域拥有广阔的想象空间，也吸引了家电行业的关注。近日，TCL、海信视像、美的等家电品牌相继宣布接入“文心一言”，希望借此促进智能家电领域人机......,家电产品; 新一代; 智能家电; 《中国电子报》; 对话式; 智能家居;
数字创新，助力上海迈入智能化时代,范昕茹,IT时报,2023-03-03,报纸,0,47,作为近代中国民族工业的重要发祥地，上海市普陀区见证了上海工业发展的风起云涌。随着上海城市数字化转型的发展，普陀区已经从传统工业迈向数字智能行业。 在2月24日举办的第三届上海数字创新大会上，一个颇具象征意义的环节是，有着92年历史的老字号品牌“英雄”联合上海数......,数字化转型; 交易所; 数据转化; 数据资产;
推进人工智能大模型技术快速发展,王子霖,上海证券报,2023-03-03,报纸,0,111,“我们不应把ChatGPT简单看作是几家互联网公司之间的技术竞争，面对以ChatGPT为代表的人工智能大模型技术的巨大跃升，我们必须迎头赶上，奋起直追。”第六年参加全国两会，全国政协委员、三六零集团创始人周鸿祎将ChatGPT写入了其中一份提案。 “党的二十大报告提出要加快建......,周鸿祎; 人工智能; 中小微企业; 模型技术;
建设先行区 应急在行动,本刊评论员,湖北应急管理,2023-03-02,期刊,0,37,<正>近来，各大平台热搜榜上的“顶流”，非ChatGPT莫属。ChatGPT是由人工智能研究实验室OpenAI在2022年11月30日发布的全新聊天机器人模型。它不仅能像人类一样聊天交流，甚至能完成撰写邮件、视频脚本、文案、翻译、代码等任务。面对这一新事物，大家百感交集。我们一边惊叹于ChatGPT的智慧和能力，一边担忧被人工智能“抢饭碗”，或被其传播的不实信息所误导，产生不良影响和后果。,无
建议提高会计准则对科技创新包容度,杨洁,中国证券报,2023-03-02,报纸,0,29,全国政协委员、奇安信董事长齐向东近日接受了中国证券报记者专访。齐向东今年共带来五份提案，其中三份都是关注民营企业发展的问题。“民营企业是市场最活跃的主体，也是科技创新的重要力量。期待在促进科技创新、加快实现科技自立自强方面有更多优惠政策，为民营企业投资科......,齐向东; 网络安全防护; 科技创新; 会计准则;
人形机器人领域“热闹非凡”,孙永剑; 林宏伟; 王少波,中华工商时报,2023-03-01,报纸,0,59,随着AI技术日益发展，人形机器人领域的研发不断取得成果，机器人越来越接近人的模样。一个巨大的产业发展空间正在形成。近期，深圳优必选科技向港交所提交招股说明书、冲刺人形机器人第一股的消息传来，更激发人们思考——如何让人形机器人更智能、更实用，从而服务于千家万......,生命健康产业; 人形机器人; 机器人应用;
云从科技亏损扩大股价大涨,邹晓,深圳商报,2023-03-01,报纸,0,17,【深圳商报讯】（记者 邹晓）2月28日，云从科技股价先一路走低，盘中跌幅一度近7%，随后反转，最终收涨0.18%，报28.2元/股。 消息面上，云从科技27日晚间发布业绩快报，公司2022年亏损8.51亿元，较上一年的亏损6.32亿元，亏损进一步扩大。 近期资金热炒ChatGPT概念，云从科......,人工智能;
