题名,作者,来源,发表时间,数据库,被引,下载,摘要,关键词
人工智能技术下的新闻业：嬗变、转向与应对——基于ChatGPT带来的新思考 网络首发,郑满宁,中国编辑,2023-04-07 16:00,期刊,0,0,以使用ChatGPT技术为代表的AIGC新闻成为新闻业的热点，新闻业智能化转型和业态重塑的进程将进一步提速。人工智能技术融入新闻业以来，经历了新闻写作机器人、智能算法推送、元宇宙新闻和AIGC新闻四个阶段。AIGC给新闻业带来了诸多挑战，如职业边界消解导致的行业主体性和功能指向模糊、生产主体不确定性造成的新闻真实乱局和虚假新闻传播、新闻著作权模糊归属引发的信息传播失序等。未来，在AIGC的作用下，新闻业的底层运行逻辑将发生改变，促使业态深度重塑；新闻业的生产规则将被打破，刺激产业链重构再造；全新新闻产品和样态将诞生，推动新闻消费更加人性化。,ChatGPT; AIGC; 人工智能; 新闻生产; 算法; 新闻真实;
ChatGPT赋能图书馆智慧服务：特征、场景与路径 网络首发,郭亚军; 郭一若; 李帅; 冯思倩,图书馆建设,2023-04-07 10:57,期刊,0,0,ChatGPT的发展将推动内容创作的范式转变，影响用户的信息获取方式，催生图书馆智慧服务的新使命和新方向，为图书馆创新服务场景快速嬗变提供技术支撑和可行依据。通过梳理内容生产方式变革视角下图书馆服务演进历程，根据ChatGPT特有的启发性内容生成能力、对话情景理解能力、序列任务执行能力以及程序语言解析能力，总结出ChatGPT赋能图书馆智慧服务的“4T特征”，并勾勒ChatGPT赋能下图书馆智慧服务的应用场景。为推进ChatGPT赋能图书馆智慧服务的落地应用，图书馆可以从技术路径、资源路径、人才路径、管理路径四个方面提升图书馆服务效能，加速推进智慧图书馆建设。,ChatGPT; AIGC; 智慧图书馆; 人工智能; 技术赋能;
作为GPT的GPT：通用目的技术视角下新一代人工智能的机遇与挑战 网络首发,陈永伟,东北财经大学学报,2023-04-07 09:15,期刊,0,0,在经济发展过程中，通用目的技术的作用是至关重要的。作为一种新出现的技术，生成式AI具有了通用目的技术所要求的普遍适用性、进步性，以及创新孕育性等特征，因而很可能会成为全新的通用目的技术。无论是出于高质量发展的需要，还是出于加强我国国际竞争力的考量，发展生成式AI都是当务之急。从目前看，我国在发展生成式AI方面还存在着很多障碍，这就要求政府用好产业政策，为其发展扫清障碍。与此同时，作为通用目的技术，生成式AI的发展一定会伴随着“创造性毁灭”过程，由此带来技术性失业、收入分配恶化，以及垄断和不正当竞争等问题。对于这些问题，应当用好相关政策加以应对，从而尽可能趋利避害，让生成式AI更好地为经济发展服务。,通用目的技术; 生成式AI; GPT; ChatGPT;
ChatGPT及GPT类技术的医学信息学应用前景探讨 网络首发,徐璐璐; 洪贇; 叶鹰,情报理论与实践,2023-04-07 09:00,期刊,0,0,[目的/意义] ChatGPT及GPT类技术可对医学知识的推理、评估等进行变革性拓展，可能彻底改变具有“软”“硬”两个走向的医学信息学。[方法/过程]文章先以两种典型的多基因疾病为案例，借助ChatGPT及GPT类技术，从早期预防、疾病诊断、治疗方法、预后和护理、图像呈现5个方面进行案例展示。后分别阐述其在基因表达与分析、临床疾病的诊断与预防、药物的发现和预测、健康信息获取和使用4个方面的应用前景。[结果/结论]未来需增进医学信息学和GPT技术之间的协同，促进人类和社会的福祉。,ChatGPT; GPT类技术; 人工智能; 医学信息学;
GPT型技术应用重塑数字人文探讨 网络首发,王静静; 洪贇; 叶鹰,情报理论与实践,2023-04-07 08:35,期刊,0,0,[目的/意义]随着时代进步，数字人文的概念受到了广泛的关注，但是在文本生成、跨语言处理、情感分析、语料库建设等方面缺乏先进技术的支持，一直未取得重大突破。目前正在兴起的GPT技术能够很好地解决上述难题，从而为数字人文研究带来突破，对数字人文领域产生显著的影响。[方法/过程]文章通过对以GPT-4为代表的GPT技术进行深入研究，并结合GPT技术应用实例，分析了GPT技术对数字人文领域的技术支持和未来拓展方向。[结果/结论]GPT技术将对数字人文领域产生显著的影响，进而提醒学术界和工业界关注GPT技术为数字人文研究带来的革命性变化，以期共同开创数字人文研究的新篇章。,人工智能; ChatGPT; GPT; GPT-4; 数字人文;
减持公告频出 ChatGPT概念还能火多久？,汪友若,上海证券报,2023-04-07,报纸,0,0,在人工智能赛道交易拥挤度显著提升的背景下，有卖方研究机构率先发出“警示”的声音。与此同时，多家ChatGPT相关概念公司的股东相继公告减持计划，也令市场主线资金对TMT产业链的博弈加剧。 周四，A股的ChatGPT概念题材炒作分歧初现，海天瑞声、汤姆猫等前期强势个股大跌超1......,ChatGPT;
AI魔盒开启 谁是下一个ChatGPT？,胡萍;李珮;陈彦蓉,金融时报,2023-04-07,报纸,0,0,要说谁是最近科技圈的新晋“顶流”，非ChatGPT莫属。 作为一个聊天机器人，ChatGPT相较于它的AI前辈进化不少。它更像一个“真实”的人，少了些木讷呆板的“机器腔”，多了些游刃有余的智慧回答；它貌似拥有一个“最强大脑”，写代码、改论文、写小说、创剧本……甚至连通过......,人工智能系统; 《金融时报》; ChatGPT; 自然语言处理; 语言模型; 治理框架; 对话式;
ChatGPT来了，究竟能为我们做什么？,胡萍;李珮;陈彦蓉,金融时报,2023-04-07,报纸,0,0,对话嘉宾：中国信通院云计算与大数据研究所所长 何宝宏 360集团创始人 周鸿祎 ChatGPT的热度仍在持续上升，一些观点认为其可能带来的冲击是不可估量、不可逆的。还有一些从事书写和设计领域的人士担心自己未来会因其失业，这种担心是否多余？ChatGPT等技术的应用，会给我们......,《金融时报》; 人工智能; ChatGPT;
意大利禁令起波澜 ChatGPT遭遇数据安全挑战,樊雪寒;吕倩,第一财经日报,2023-04-07,报纸,0,0,意大利率先在本国禁止ChatGPT的使用后，多国安全机构表示将会考虑对ChatGPT采取措施。 对于外界的普遍关注，OpenAI在4月6日凌晨发表博客回应称：“我们认为，强大的人工智能系统应该接受严格的安全评估。需要有监管来确保这种做法被采纳，我们积极与政府接触，探讨这种监管......,意大利; ChatGPT; 人工智能系统; 监管机构; 数据监管; 安全挑战;
生活不是按照常理出牌的 这是我们打败ChatGPT唯一的途径,周伟达,嘉兴日报,2023-04-07,报纸,0,0,线上62万人观看，线下座无虚席，掌声从王安忆、余华两位著名作家进场开始，在两人的每一次发言收尾时持续爆发，笑声更是伴随着作家幽默的叙述连绵不断，这是中国“顶流作家”的魅力。3月26日，“现实与传奇——王安忆余华对谈”在华东师范大学普陀校区思群堂举行，现场气氛火......,王安忆; ChatGPT;
