题名,作者,来源,发表时间,数据库,被引,下载,摘要,关键词
技术的工具性与人的成长性：智能技术进展中的伦理问题——以ChatGPT智能应用为例,顾理平,传媒观察,2023-03-15,期刊,0,1322,智媒时代人工智能技术的快速发展不断丰富着人们对世界的认知，也强化着改造世界的能力。但是，作为工具的技术在其应用过程中，却可能存在某种缺陷。所以，我们在兴致盎然地拥抱新技术的同时，必须对可能存在的问题保持警觉。功能强大的ChatGPT智能应用自2022年11月推出以来，受到了全社会的广泛关注，许多商业资本也跃跃欲试期待着新技术可能带来的巨大商机。但是，我们在为人工智能技术进步新突破欢呼的同时，必须对这种智能应用在失当信息传播、著作权侵权和消解科学精神等方面可能带来的负面影响早做预期，以促使技术发展更好地推动社会的文明和进步。,人工智能; ChatGPT; 科技伦理;
走红的ChatGPT，将会如何重构我们？,陈顺利,现代商业银行,2023-03-15,期刊,0,393,<正>我们需要意识到，ChatGPT技术只是一种工具，它并不能替代人类思维和创造力。虽然ChatGPT技术可以提供很多便利和效率，但它并不能代替人类的思考和判断能力。我们需要继续发扬人类的创造力和智慧，不断推动技术的发展和应用，让ChatGPT技术为人类的工作和生活带来更多的创新和改变。随着人工智能技术的发展，去年十一月底诞生的ChatGPT已成为一种非常流行的语言模型。由于其卓越的表现，ChatGPT很快在许多领域得到了广泛的应用，通过API开放服务给大众使用，例如在线客服、虚拟助手、智能翻译等。,无
概率与反馈:ChatGPT的智能原理与人机内容共创,邓建国,南京社会科学,2023-03-15,期刊,0,442,"ChatGPT作为21世纪第二个十年出现的最新和最强大的人工智能，其原理并没有脱离20世纪中期以来推动人工智能发展的两个重要理论——“信息论(概率)”和“控制论(反馈)”,这两个理论也极大地推动了传播学的发展。ChatGPT的概率性语言分析和拼凑式内容创新自古以来就是人类的文化生产方式，它对今天的“原创作者”制度提出了挑战。未来，ChatGPT会不断学习，变得更具创造性，进而对人类施加更多的创新压力。人类将能以ChatGPT训练伙伴和合作伙伴，不断掀起基于和超越“人工智能生产内容”(AIGC)的新的“浪漫主义运动”,最终变得越来越具有创造性。",控制论; 信息论; 概率; 反馈; ChatGPT; AIGC; 韩炳哲;
ChatGPT“对话”三大行业,,中国商界,2023-03-15,期刊,0,124,<正>在ChatGPT诞生之前，各行各业多年未见如此令人兴奋的场景了。比尔·盖茨公开强调：“像ChatGPT这样的人工智能，与个人电脑、互联网同等重要。”而埃隆·马斯克在使用ChatGPT后的感受是“好到吓人”，他甚至断言，“我们离强大到危险的AI不远了。”在国内，一波ChatGPT创业浪潮以及与其并肩而立的失业焦虑则是汹涌袭来。,无
ChatGPT：挑战、发展与治理,赵精武; 王鑫; 李大伟; 刘艾杉; 周号益,北京航空航天大学学报(社会科学版),2023-03-15,期刊,0,880,2023年，研究机构OpenAI发布的ChatGPT聊天机器人掀起了人工智能的新一轮浪潮。当前，中国正在积极探索人工智能发展的新模式、新路径，在对标ChatGPT大模型的基础上，着力构建开源框架和通用大模型的应用生态。ChatGPT受到了来自法学、数学、计算机科学与技术、网络空间安全、软件工程、语言学、哲学等多个学科的广泛关注，由此引发了如何认识ChatGPT、ChatGPT会给社会带来哪些机遇和挑战、应该对ChatGPT采取何种治理方案等诸多问题。针对上述问题，本刊特邀五位青年学者，从交叉学科视角出发，针对人工智能发展的新趋势及其潜在的技术安全风险，探讨ChatGPT对中国人工智能产业的影响方式和借鉴意义，以期为推动中国人工智能产业良性、高效发展助力。,无
从互联网到ChatGPT:思想政治教育的技术重塑与建构逻辑,卢岚,探索,2023-03-15,期刊,0,0,现代信息技术已经成为型构社会的一个关键性变量，并成为影响自我、与他者展开交往互动和审视日常社会生活的一个重要维度。信息技术发展与社会深刻转型等多变量合围，不仅改变了人类社会的交往形态，也催生了思想政治教育研究的变革。我们考察信息技术与思想政治教育之间的关系，并非仅仅将信息技术作为赋能增权的工具，而是强调二者在深层问题意识层面的内嵌与整合，强调信息技术与思想政治教育之间互嵌的张力和能量的激活，进而使信息技术与思想政治教育在学科逻辑上的对话问题拥有更大的研究空间。因此，我们将思想政治教育理论与实践研究放在现代信息技术视野中加以考察，以周密的逻辑与直击本质的洞见俯瞰思想政治教育的复杂场景，解析信息技术嵌入社会、衔接思想政治教育的机理。同时，我们也要注重在问题驱动与价值理念催生、系统进化与边界重塑、价值引领与技术迭代优化等多重维度与视域上展开理论聚合与分拣，以重塑思想政治教育理论体系。,信息技术; 相互建构; 思想政治教育; 价值理念;
CHATGPT: CHANGING THE GAME,Yuan Yanan,China Report ASEAN,2023-03-15,期刊,0,0,"<正>In November 2022, Open AI, an artificial intelligence(AI) research lab headquartered in San Francisco, launched Chat GPT which quickly attracted global attention. Two months since the release, monthly active users (MAU) of Chat GPT have reached 100 million, making it the app with the fastest-growing user count in history.",无
从ChatGPT看新商机,,企业家,2023-03-15,特色期刊,0,25,<正>2022年11月30日，智能聊天机器人ChatGPT横空出世，在全球范围内形成了热烈讨论，有人称之为知识界的“工业革命”。“一夜蹿红”的ChatGPT，将给人们的生活带来巨大改变。有人预测，ChatGPT将引爆第四次科技革命，带来一场深刻的生产力变革，这场变革将会影响千千万万个企业和企业家。本期专题汇集相关资深专家，对ChatGPT带来的机遇与挑战进行探讨。,无
穿越迷雾，把握当下——ChatGPT引爆AI新时代,王鹏,现代商业银行,2023-03-15,期刊,0,254,<正>回望文明的历程，是科技之光扫荡了人类历史上蒙昧的黑暗，是科技之火点燃了人类心中熊熊燃烧的希望。科技支撑了文明，科技创造着未来。认真过好每一天，或许比对未来不确定性的忧虑更有意义与价值。当总部位于旧金山的人工智能实验室OpenAI发布了一个名为ChatGPT的自然语言生成式模型后，火遍全网，引发热烈的讨论，也给人们带来更深入的思考，有欣喜的正向情绪，也有忧虑的负面担忧。因此，我们将试图以此篇文章正本清源，系统、全面地梳理ChatGPT的实质、特征与影响，并关于应对策略加以讨论。,无
ChatGPT：助攻游戏行业,赵熠如,中国商界,2023-03-15,期刊,0,126,<正>在各行各业忌惮ChatGPT会取代自己的同时，游戏行业可能是最欢迎它的存在了。有了ChatGPT的助攻，游戏行业正在打开体验更丰富、研发更高效的“新世界”。有了ChatGPT的助攻，游戏行业正在打开新世界的大门。,无
