题名,作者,来源,发表时间,数据库,被引,下载,摘要,关键词
ChatGPT爆火 学界、投资界、产业界如何看待,无,上海质量,2023-03-20,期刊,0,76,<正>近段时间，ChatGPT以迅雷不及掩耳之势席卷网络世界。据统计，这款由美国OpenAI公司于2022年11月推出的人工智能（AI）工具上线仅4天，其用户量便到达百万级；仅两个月，就实现了活跃用户亿级，打破了由Tik Tok创造的9个月实现亿级用户注册的纪录，从而引起了各行各业的强烈关注。,无
中国版ChatGPT来了,苏洁,中国银行保险报,2023-03-20,报纸,0,186,时下要说科技圈什么技术最热门，那非ChatGPT莫属。当人工智能开发机构OpenAI宣布推出ChatGPT聊天机器人之后，3月16日，百度CEO李彦宏宣布“百度版ChatGPT”——文心一言正式发布。据介绍，百度将在所有业务中全面集成文心一言。面向消费者，文心一言嵌入百度搜索，将引领搜索......,李彦宏; 邬贺铨; ChatGPT; 人工智能;
七谈“元宇宙”:“元宇宙”肥皂泡破裂及我们对科技理性的认识——兼谈ChatGPT火爆全球,肖方晨,中国信息化,2023-03-20,期刊,0,0,<正>前面的文章我们论述了“元宇宙”是一个伪概念，进而演化成伪科学，及其产生的危害的过程。它的破灭是早晚的事儿，是必然的。其破灭的原因已经充分讨论，不再赘述。有兴趣的读者可查阅此前的系列专栏文章。最近由于ChatGPT突然火爆全球，“元宇宙”肥皂泡加速了破裂。我对“元宇宙”鼓吹者把当今时代说成是“下一代人类社会”“未来人类的新纪元”等骇人听闻的宣传一直持坚定的反对立场和批判否定态度，而对以计算机科学和其发展出的一系列技术而构成的体系充满敬意和期待，,无
“文心一言”子弹正飞,崔亮亮,通信产业报,2023-03-20,报纸,0,73,"百度是全球为数不多在“芯片-框架-模型-应用”四层进行全栈布局的人工智能公司。文心一言是百度过去多年努力的延续。 “文心一言要对标ChatGPT门槛很高,目前百度在全球互联网大厂中第一个做出来。”百度创始人、董事长兼首席执行官李彦宏在文心一言公开邀请测试时表示。 3......",语言模型; 李彦宏;
ChatGPT中文性能测评与风险应对 网络首发,张华平; 李林翰; 李春锦,数据分析与知识发现,2023-03-18 17:49,期刊,0,2037,[目的]简要介绍ChatGPT的主要技术创新，使用9个数据集在4个任务上测评ChatGPT的中文性能，分析ChatGPT潜在的风险以及中国应对策略建议。 [方法] 使用ChnSentiCorp数据集测试ChatGPT和WeLM模型，EPRSTMT数据集测试ChatGPT和ERNIE 3.0 Titan， 发现ChatGPT在情感分析任务上与国产大模型差距不大；使用LCSTS和TTNews数据集测试ChatGPT和WeLM模型，ChatGPT均优于WeLM；使用CMRC2018和DRCD数据集进行抽取式的机器阅读理解，C3数据集进行常识性的机器阅读理解，发现ERNIE 3.0 Titan在该任务中优于ChatGPT；使用WebQA和CKBQA数据集进行中文闭卷问答测试，发现ChatGPT容易产生事实性错误，与国产模型差距较大。 [结果]ChatGPT在自然语言处理的经典任务上表现较好，在情感分析上具有85%以上的准确率，在闭卷问答上出现事实性错误的概率较高。 [局限]将判别式的任务转为生成式的过程中可能引入评估分数的误差。本文仅在零样本情况下评估ChatGPT，并不清楚其在其他情况下的表现。由于后续版本的迭代更新，ChatGPT评测结果具有一定的时效性。 [结论]ChatGPT很强大但仍然存在一些缺点，研发中国化的大模型应以国家战略需求为导向，并且注意语言模型的风险和局限。,语言模型; ChatGPT; 人工智能;
ChatGPT：工于诗词格律 安知人情冷暖,泽登旺姆; 王茹懿,成都日报,2023-03-18,报纸,0,221,当意象变成数据、文采化作代码，诗歌会发生什么变化？第六届国际诗歌周此时正在成都举行，关于“ChatGPT写诗”的话题再次受到瞩目。在网络上，也不乏对此话题的讨论。近日，有网友在网络上展示了自己让ChatGPT挑战“唐诗三百首”的视频，在视频中，ChatGPT完美完成写诗任务，......,诗词格律; 人工智能; 机器人; ChatGPT; 张执浩; 语言模型; 唐诗三百首; 人情冷暖; 叶延滨;
“新一代人工智能技术ChatGPT的应用与规制”笔谈 网络首发,于文轩;马亮;王佃利;韩志明;谢新水,广西师范大学学报(哲学社会科学版),2023-03-17 08:27,期刊,0,4537,2022年11月新一代人工智能技术ChatGPT的问世，引起了全球范围的强烈关注，也引发人们对技术带来挑战的忧思。就公共管理而言，以ChatGPT为代表的人工智能技术愈发成为驱动人类社会思维方式、组织架构和运作模式发生根本性变革、全方位重塑的引领力量，为其创新路径、重塑形态、推动发展提供了新的重大机遇。ChatGPT强大的语言处理能力可以极大促进政府组织间信息流通和合作，降低政府行政成本和提升公共管理的效率和效益，为数字政府建设带来了发展的契机，推动数字政府建设如智能化政民互动、智能化公共服务、科学化政府决策等，甚至引发政府的深层次改革。同时，ChatGPT的双刃效应也给公共管理带来巨大冲击和风险，让人们开始关注ChatGPT时代的制度重构与风险规制，思考如何合理管控ChatGPT的应用边界。在传统公共管理强调政府和市场关系的框架下，ChatGPT的运用面临公共价值失灵风险，对此有必要重构人工智能时代的公共价值失灵判断标准，针对其潜在风险提出对策。人类自身的道德问题、人类对高智能体的矛盾心态、公共生活的复杂性，也使ChatGPT为代表的聊天机器人面临道德性夭折的风险，对此应秉持人本主义，构建人工智能时代的价值规范。ChatGPT的应用及发展对劳动力的提质增量可能带来正面或负面的影响，对此应设计科学有效的政策，使人工智能促进社会进步、增进民众福祉，以维护劳动力的可持续发展。,ChatGPT; 人工智能技术; 公共管理; 数字政府; 公共价值失灵; 制度重构; 风险规制;
ChatGPT为中国政府采购点赞,张舒慧,中国政府采购报,2023-03-17,报纸,0,40,《中国政府采购报》：您好!我是《中国政府采购报》记者，想对您进行一个专访。请问您是否了解《中国政府采购报》？ ChatGPT：你好!我是ChatGPT，我可以回答你的问题和提供必要的帮助。作为一个AI语言模型，我并不知道所有的事情，但我会尽力回答你的问题。 关于《中国政府......,政府采购市场; 政府采购理论; ChatGPT; 政府采购法律; 采购流程; 人工智能技术; 电子化采购;
ChatGPT狂欢背后：别让科技新概念昙花一现,李佳师,中国电子报,2023-03-17,报纸,0,344,对于一个颠覆性科技成果的出现，人们容易只看到狂欢，背后漫长的蛰伏、长久的付出却常常被忽略。去年年底至今年年初，OpenAI公司打造的ChatGPT爆火，目前，在股市上与ChatGPT概念沾点儿边儿的股票全部疯涨，各种追风者蜂拥而上。 新的科技概念一波接一波，有的公司踩在风口......,新概念; 奥特曼; ChatGPT; 机器视觉; 人工智能技术; 投资者;
数字经济条件下政府采购该何去何从,张舒慧,中国政府采购报,2023-03-17,报纸,0,24,当前，以大数据、物联网、云计算、人工智能、区块链为代表的新一轮信息技术革命正迈向深水区，而数字技术的发展也催生了数字经济。数字经济发展之快、影响范围之广，推动着生产生活方式发生深刻变革。党的二十大报告提出，要“加快发展数字经济，促进数字经济和实体经济深度......,区块链; 采购文件; 人工智能技术;
