标题,"简写作者,期刊,时间,出版商",简写摘要,引用,被引用次数,文献链接
Aspartate aminotransferase (AST/GOT) and alanine aminotransferase (ALT/GPT) detection techniques,"XJ Huang, YK Choi, HS Im, O Yarimaga, E Yoon… - Sensors, 2006 - mdpi.com","… ALT/GPT in monitoring patients with liver diseases, AST/GOT and ALT/GPT detection have
… AST/GOT and ALT/GPT detection technologies (we call them GOT and GPT in the following …","Huang, X. J., Choi, Y. K., Im, H. S., Yarimaga, O., Yoon, E., & Kim, H. S. (2006). Aspartate aminotransferase (AST/GOT) and alanine aminotransferase (ALT/GPT) detection techniques. Sensors, 6(7), 756-782.",483,https://www.mdpi.com/1424-8220/6/7/756/pdf
Chatting about ChatGPT: how may AI and GPT impact academia and libraries?,"BD Lund, T Wang - Library Hi Tech News, 2023 - emerald.com","Purpose This paper aims to provide an overview of key definitions related to ChatGPT, a
public tool developed by OpenAI, and its underlying technology, Generative Pretrained …","Lund, B. D., & Wang, T. (2023). Chatting about ChatGPT: how may AI and GPT impact academia and libraries?. Library Hi Tech News.",54,https://www.researchgate.net/profile/Brady-Lund/publication/367161545_Chatting_about_ChatGPT_How_may_AI_and_GPT_impact_academia_and_libraries/links/6412235c315dfb4cce80f0e4/Chatting-about-ChatGPT-How-may-AI-and-GPT-impact-academia-and-libraries.pdf
Gpt-gnn: Generative pre-training of graph neural networks,"Z Hu, Y Dong, K Wang, KW Chang, Y Sun - Proceedings of the 26th ACM …, 2020 - dl.acm.org","… Based on this task, we present the GPT-GNN framework for generative pretraining of graph
… framework GPT-GNN to conduct generative pre-training with the aforementioned task. GPT-…","Hu, Z., Dong, Y., Wang, K., Chang, K. W., & Sun, Y. (2020, August). Gpt-gnn: Generative pre-training of graph neural networks. In Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining (pp. 1857-1867).",242,https://dl.acm.org/doi/pdf/10.1145/3394486.3403237
"[HTML] GPT-3: Its nature, scope, limits, and consequences","L Floridi, M Chiriatti - Minds and Machines, 2020 - Springer","In this commentary, we discuss the nature of reversible and irreversible questions, that is,
questions that may enable one to identify the nature of the source of their answers. We then …","Floridi, L., & Chiriatti, M. (2020). GPT-3: Its nature, scope, limits, and consequences. Minds and Machines, 30, 681-694.",596,https://link.springer.com/article/10.1007/s11023-020-09548-1
What Makes Good In-Context Examples for GPT-?,"J Liu, D Shen, Y Zhang, B Dolan, L Carin… - arXiv preprint arXiv …, 2021 - arxiv.org","… found that the empirical results of GPT-3 depend heavily on … (relative to random sampling)
that better leverage GPT3’s few-shot … as more informative inputs to unleash GPT-3’s extensive …","Liu, J., Shen, D., Zhang, Y., Dolan, B., Carin, L., & Chen, W. (2021). What Makes Good In-Context Examples for GPT-$3 $?. arXiv preprint arXiv:2101.06804.",200,https://arxiv.org/pdf/2101.06804
"How contextual are contextualized word representations? comparing the geometry of BERT, ELMo, and GPT-2 embeddings","K Ethayarajh - arXiv preprint arXiv:1909.00512, 2019 - arxiv.org","… The contextualizing models we study in this paper are ELMo, BERT, and GPT-21. We
choose the base cased version of BERT because it is most comparable to GPT-2 with respect to …","Ethayarajh, K. (2019). How contextual are contextualized word representations? comparing the geometry of BERT, ELMo, and GPT-2 embeddings. arXiv preprint arXiv:1909.00512.",533,https://arxiv.org/pdf/1909.00512
"GPT understands, too","X Liu, Y Zheng, Z Du, M Ding, Y Qian, Z Yang… - arXiv preprint arXiv …, 2021 - arxiv.org","While GPTs with traditional fine-tuning fail to achieve strong results on natural language
understanding (NLU), we show that GPTs can be better than or comparable to similar-sized …","Liu, X., Zheng, Y., Du, Z., Ding, M., Qian, Y., Yang, Z., & Tang, J. (2021). GPT understands, too. arXiv preprint arXiv:2103.10385.",310,https://arxiv.org/pdf/2103.10385
Using cognitive psychology to understand GPT-3,"M Binz, E Schulz - Proceedings of the National Academy of …, 2023 - National Acad Sciences","… model (GPT-3) do experiments from the cognitive psychology literature. We find that GPT-3
can … the cognitive psychology literature to demystify how GPT-3 solves different tasks and use …","Binz, M., & Schulz, E. (2023). Using cognitive psychology to understand GPT-3. Proceedings of the National Academy of Sciences, 120(6), e2218523120.",42,https://www.pnas.org/doi/full/10.1073/pnas.2218523120
Escherichia coli gpt gene provides dominant selection for vaccinia virus open reading frame expression vectors,"FG Falkner, B Moss - Journal of virology, 1988 - Am Soc Microbiol","… of developing a coexpression vector similar to that described here for gpt. In summary, gpt
selection provides a number of important advantages over previous procedures devised to …","Falkner, F. G., & Moss, B. E. R. N. A. R. D. (1988). Escherichia coli gpt gene provides dominant selection for vaccinia virus open reading frame expression vectors. Journal of virology, 62(6), 1849-1854.",431,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC253265/pdf/jvirol00085-0019.pdf
Sparks of artificial general intelligence: Early experiments with gpt-4,"S Bubeck, V Chandrasekaran, R Eldan… - arXiv preprint arXiv …, 2023 - arxiv.org","… GPT-4’s performance is strikingly close to human-level performance, and often vastly surpasses
prior models such as ChatGPT. Given the breadth and depth of GPT… exploration of GPT-4…","Bubeck, S., Chandrasekaran, V., Eldan, R., Gehrke, J., Horvitz, E., Kamar, E., ... & Zhang, Y. (2023). Sparks of artificial general intelligence: Early experiments with gpt-4. arXiv preprint arXiv:2303.12712.",53,https://arxiv.org/pdf/2303.12712
