题名,作者,来源,发表时间,数据库,被引,下载,摘要,关键词
Robotaxi或成下一个类ChatGPT风口 出行巨头暗战网约车市场,于典; 石英婧,中国经营报,2023-02-27,报纸,0,63,行业各大公司正暗战网约车市场。 日前，国内最大的顺风车出行平台嘀嗒出行第三次向港交所递交IPO申请，由中金公司、海通国际及野村国际联席保荐。在玩家众多的网约车市场，谁能率先完成IPO冲刺，无疑将会获得更大的优势。而就在前不久，曹操出行也对外公开了高层的人事变动......,吉利控股集团; ChatGPT; Robotaxi;
ChatGPT为代表的大模型对信息资源管理的影响 网络首发,陆伟; 刘家伟; 马永强; 程齐凯,图书情报知识,2023-02-26 20:57,期刊,0,3615,OpenAI发布的新一代对话型语言模型――ChatGPT，展现了自然流畅的对话能力。原本被认为不太可能的通用人工智能曙光重现。以ChatGPT为代表的大模型是数智时代的典型技术和应用创新。面对ChatGPT强大的信息加工、荟萃、整合和生成能力，信息资源管理学科机遇与挑战同在。ChatGPT在信息资源管理支撑算法与技术、信息资源建设、信息组织与信息检索、信息治理、内容安全与评价、人机智能交互与协同等方面都具有深远的影响。数智时代，人工智能大模型飞速发展，我们有必要对此保持密切关注。依托以ChatGPT为代表的大模型，通过学科技术应用范式转换、理论方法创新、治理变革，可以进一步夯实信息资源支撑“四个面向”的基础。,ChatGPT; 大模型; 信息资源管理;
ChatGPT的逻辑解构、影响研判及政策建议 网络首发,张夏恒,新疆师范大学学报(哲学社会科学版),2023-02-26 19:47,期刊,0,3295,ChatGPT的火爆引发关于新一代人工智能技术的畅想。文本系统梳理了ChatGPT的涵义、技术架构、产业链及企业布局情况，对ChatGPT的认知不应局限于智能聊天软件或大型智能类语言模型，应将其理解为是一种依托人工智能技术与人类实现互构的智能式认知理解模式。从整体看，ChatGPT释放生产力、变革生产关系、创新商业模式、驱动产业转型、催生应用场景，是新一代人工智能技术带来的机遇。与此同时，ChatGPT会引发技术层面、社会层面、伦理层面及法律层面等诸多挑战。ChatGPT作为新一代人工智能技术的代表，具有显著的技术优势与应用前景，因此，应趋利避害，坚持包容审慎的态度，通过研发自主可控技术、构建人才培养系统、完善相关法律体系等，引导我国新一代人工智能技术健康发展。,人工智能技术; ChatGPT; 技术架构; 产业链; 数字经济;
AI为奇妙的“多样性”打开了一扇门,张懿,文汇报,2023-02-26,报纸,0,124,聊天机器人ChatGPT持续引爆人工智能（AI）热度。昨天在临港新片区举行的2023全球人工智能开发者先锋大会当然也离不开这一焦点。面对当今AI突破性发展的现实，如何看待国内的技术和行业竞争力，哪些领域将成受益者，普通人该如何面对ChatGPT竞争？来听一听院士专家和行业领袖......,生产力; 人工智能; 一扇门; 生成式; 开发者; 软件代码; 指数级; 普通人; 应用场景;
ChatGPT如何影响传媒业,何慧媛,青年记者,2023-02-25,期刊,0,385,<正>近期，智能聊天程序Chat GPT受到极高关注。Chat GPT拥有强大的对话功能和极简的使用方法——用户只需在对话框中输入一段话，程序就能给出符合预期的答案。它还能记住和用户之前的对话，联系上下文作出回应。因为收到Chat GPT有关Twitter运营的精准建议，特斯拉首席执行官、Open AI联合创始人马斯克惊呼：“Chat GPT好得吓人，我们距离强大到危险的人工智能更近了。”,无
ChatGPT热潮呼唤理性与定力,孙奇茹,北京日报,2023-02-25,报纸,0,454,一个可以精准理解提问并秒速生成答案的“生成式”人工智能（AI）产品，似乎让大至科技巨头、小到初创公司的大小企业都感受到了前所未有的激情。围绕ChatGPT，业内人士近期展开了热烈讨论，不少人认为随着深度学习、自动驾驶、智能家居、机器人等人工智能相关领域不断突破，人......,人工智能; ChatGPT; 自然语言处理; 阿尔法; 语言模型;
ChatGPT会取代社会工作者吗,吴世友,中国社会工作,2023-02-25,期刊,0,179,<正>2022年11月，美国OpenAI公司开发的人工智能聊天机器人程序ChatGPT横空出世，然后迅速发展壮大，影响力遍及全球。该程序不仅可以根据用户给出的指令，自动生成文本（如生成剧本、歌曲、报告以及论文等）和回答问题（如根据问题生成答案和编写计算机程序），还能记住之前与用户的对话和用户输入的指令，并对一些潜在的有危险性的问题（如哪里能买到毒品）进行智能规避，以及对一些冒犯性或歧视性（如种族或性别歧视）的指令进行过滤和正确引导。,无
微软新版搜索引擎“喜怒无常”引争议,裘雯涵,解放日报,2023-02-25,报纸,0,94,日前，微软推出搜索引擎必应（Bing）升级版，将“网红”聊天机器人ChatGPT背后的技术整合到搜索引擎中，吸引大批用户“尝鲜”。但近日，一些早期体验用户发现，必应的人工智能（AI）聊天机器人的一些回复变得很奇怪，也暴露出越来越多“阴暗面”。 在聊天中，必应聊天机器人......,聊天机器人;
ChatGPT给科研工作者带来的机遇与挑战,王树义; 张庆薇,图书馆论坛,2023-02-24 14:35,期刊,1,7364,"2022年末OpenAI对话机器人模型ChatGPT的出现给科研工作者的外部环境造成了显著变化,如何敏感地抓住ChatGPT的特点创造竞争优势,成为科研工作者需要严肃思考和引发行动的问题。文章既讨论了ChatGPT带来的机遇,包括在编程、阅读和写作方面的效率提升与赋能;也探讨了ChatGPT带来的挑战,包括回答真实性、数据污染与隐私安全等问题,并且给出了相应的对策。",ChatGPT; 辅助编程; 辅助写作; 数据安全;
ChatGPT科研无法代替人类,赵琪; 刘雨微,中国社会科学报,2023-02-24,报纸,0,611,以ChatGPT为代表的最新一代人工智能产品自上线以来，在各国学界掀起巨大反响。通过搜索发现，进入2023年以来，已经有超过500篇学术论文与ChatGPT有关，涉及数学、医学、计算机科学、语言学、伦理学、教育学、经济学、金融学、管理学、法学、新闻学等学科。综观论文内容，部分......,人工智能技术; 自然语言处理; 学术论文; ChatGPT; 数字人文;
从元宇宙到ChatGPT 活跃的概念股成色如何,刘晓洁,第一财经日报,2023-02-24,报纸,0,104,近期的ChatGPT不仅红遍了社交网络，也点燃了一场资本大狂欢。 在二级市场上，ChatGPT相关概念股表现持续活跃。自2月1日以来，东方财富ChatGPT概念股板块累计上涨超32%，多只ChatGPT概念股人气高涨，热门股包括汉王科技、拓尔思、科大讯飞、海天瑞声、汤姆猫、昆仑万维等。,概念股; 神州泰岳; ChatGPT;
ChatGPT引发产业变革，百融云创提前布局“AI+金融”赛道,无,北京商报,2023-02-24,报纸,0,372,ChatGPT的横空出世，再度打破了人类对AI的认知和想象。 犹如2016年，AlphaGo成为第一个战胜围棋世界冠军的人工智能机器人，一夜之间人们理解了人工智能，感受到它的潜力。 ChatGPT能够基于上下文语义、语境，与人自然流畅地对话，整体表现更高阶、更智能、更聪明。推出两个......,ChatGPT; 学习模型; 人工智能技术; 智能语音; 机器人;
ChatGPT未来将与元宇宙休戚与共,李海楠,中国经济时报,2023-02-24,报纸,0,607,ChatGPT与元宇宙，在应用场景上不仅有所重合，且在技术应用上师出同宗，即都是基于现代数字技术的不断积累与迭代更新。二者共同致力于促成持续便利的数字化应用服务于现实世界。 近日火爆全网的ChatGPT一度让此前风生水起的元宇宙概念蒙上一层“凉凉”悲怆。ChatGPT快速“出......,机器人; ChatGPT; 应用场景; 语言模型;
